Seed,Star Count,这里是1.7+亮度的星系，看一轨能不能全球锅，2.04+亮度的星系，看一二轨能不能全球锅
104298,63,
126586,63,
166308,63,
205503,63,
214215,63,
322104,63,
338777,63,
388862,63,
471468,63,
513774,63,
527215,63,
555501,63,
611957,63,
685501,63,
698308,63,
700705,63,
709226,63,
733534,63,
754349,63,
800647,63,
809811,63,
830542,63,
886429,63,
901684,63,
941826,63,
983502,63,
1020365,63,
1062041,63,
1086713,63,
1092953,63,
1140571,63,
1170718,63,
1246277,63,
1285248,63,
1343075,63,
1571477,63,
1589825,63,
1636878,63,
1691021,63,
1696277,63,
1740658,63,
1936488,63,
1937402,63,
2007952,63,
2058331,63,
2060402,63,
2079407,63,
2084873,63,
2120752,63,
2141879,63,
2240487,63,
2245962,63,
2287974,63,
2403824,63,
2505612,63,
2531403,63,
2545320,63,
2548888,63,
2590830,63,
2702692,63,
2738035,63,
2858898,63,
2914673,63,
3156237,63,
3157347,63,
3179719,63,
3205254,63,
3302761,63,
3307914,63,
3467301,63,
3474115,63,
3488797,63,
3509257,63,
3525660,63,
3580712,63,
3671596,63,
3695489,63,
3730794,63,
3737515,63,
3778860,63,
3812668,63,
3815723,63,
3843762,63,
3874338,63,
3939949,63,
3981625,63,
4043500,63,
4113784,63,
4220390,63,
4233034,63,
4248765,63,
4280344,63,
4306909,63,
4312072,63,
4333083,63,
4342028,63,
4398078,63,
4432567,63,
4452202,63,
4469845,63,
4485688,63,
4594155,63,
4596655,63,
4604784,63,
4616304,63,
4690720,63,
4744578,63,
4761298,63,
4774324,63,
4790876,63,
4869415,63,
4959143,63,
4980065,63,
5064471,63,
5105723,63,
5106791,63,
5165625,63,
5170023,63,
5283844,63,
5323487,63,
5325959,63,
5356605,63,
5417860,63,
5420933,63,
5513147,63,
5526126,63,
5546568,63,
5551059,63,
5585595,63,
5646323,63,
5699654,63,
5712209,63,
5730566,63,
5755797,63,
5786956,63,
5805397,63,
5887583,63,
6020018,63,
6129189,63,
6141338,63,
6238309,63,
6254147,63,
6260807,63,
6275116,63,
6285325,63,
6337793,63,
6371788,63,
6466814,63,
6474397,63,
6479145,63,
6602695,63,
6605125,63,
6645005,63,
6675418,63,
6727597,63,
6776717,63,
6863665,63,
6927858,63,
6932251,63,
6956909,63,
7028098,63,
7212203,63,
7246641,63,
7290560,63,
7292738,63,
7294091,63,
7347972,63,
7357183,63,
7369855,63,
7396355,63,
7431581,63,
7441501,63,
7465655,63,
